subscription,device,app,weight,path,QoS Score
sub1,dev1,app2_comp4,0.2,"dev1,sw1,comp4,app2_comp4",0.4753
sub2,dev2,app2_comp4,0.2,"dev2,sw1,comp4,app2_comp4",0.4715
sub3,dev3,app2_comp4,0.2,"dev3,sw1,comp4,app2_comp4",0.4654
sub4,dev4,app2_comp4,0.2,"dev4,sw1,comp4,app2_comp4",0.486
sub5,dev5,app2_comp4,0.4,"dev5,sw1,comp4,app2_comp4",0.5301
sub6,dev6,app2_comp4,0.4,"dev6,sw1,comp4,app2_comp4",0.482
sub7,dev7,app2_comp4,0.2,"dev7,sw2,sw3,sw0,sw1,comp4,app2_comp4",0.5126
sub8,dev8,app2_comp4,0.2,"dev8,sw2,sw3,sw0,sw1,comp4,app2_comp4",0.4123
sub9,dev9,app2_comp4,0.2,"dev9,sw2,sw3,sw0,sw1,comp4,app2_comp4",0.4781
sub10,dev10,app2_comp4,0.2,"dev10,sw2,sw3,sw0,sw1,comp4,app2_comp4",0.4774
sub11,dev11,app2_comp4,0.4,"dev11,sw2,sw3,sw0,sw1,comp4,app2_comp4",0.5006
sub12,dev12,app2_comp4,0.4,"dev12,sw2,sw3,sw0,sw1,comp4,app2_comp4",0.4185
sub13,dev13,app2_comp4,0.2,"dev13,sw3,sw0,sw1,comp4,app2_comp4",0.4221
sub14,dev14,app2_comp4,0.2,"dev14,sw3,sw0,sw1,comp4,app2_comp4",0.3876
sub15,dev15,app2_comp4,0.2,"dev15,sw3,sw0,sw1,comp4,app2_comp4",0.5014
sub16,dev16,app2_comp4,0.2,"dev16,sw3,sw0,sw1,comp4,app2_comp4",0.5273
sub17,dev17,app2_comp4,0.4,"dev17,sw3,sw0,sw1,comp4,app2_comp4",0.4344
sub18,dev18,app2_comp4,0.4,"dev18,sw3,sw0,sw1,comp4,app2_comp4",0.4696
sub19,dev19,app2_comp4,0.4,"dev19,sw3,sw0,sw1,comp4,app2_comp4",0.5038
sub20,dev20,app2_comp4,0.4,"dev20,sw3,sw0,sw1,comp4,app2_comp4",0.4936
sub21,dev7,app1_comp1,0.3,"dev7,sw2,sw3,comp1,app1_comp1",-0.8068
sub22,dev8,app1_comp1,0.3,"dev8,sw2,sw3,comp1,app1_comp1",-0.6553
sub23,dev9,app1_comp1,0.3,"dev9,sw2,sw3,comp1,app1_comp1",-0.8524
sub24,dev10,app1_comp1,0.3,"dev10,sw2,sw3,comp1,app1_comp1",-0.8376
sub25,dev11,app1_comp1,0.5,"dev11,sw2,sw3,comp1,app1_comp1",-0.882
sub26,dev12,app1_comp1,0.5,"dev12,sw2,sw3,comp1,app1_comp1",-0.9963
sub27,dev5,app4_comp2,0.8,"dev5,sw1,sw0,comp2,app4_comp2",0.2724
sub28,dev6,app4_comp2,0.8,"dev6,sw1,sw0,comp2,app4_comp2",0.2655
sub29,dev11,app4_comp3,0.8,"dev11,sw2,comp3,app4_comp3",0.1938
sub30,dev12,app4_comp3,0.8,"dev12,sw2,comp3,app4_comp3",0.2947
sub31,dev17,app4_comp1,0.8,"dev17,sw3,comp1,app4_comp1",-1.1501
sub32,dev18,app4_comp1,0.8,"dev18,sw3,comp1,app4_comp1",-1.1579
sub33,dev19,app4_comp1,0.8,"dev19,sw3,comp1,app4_comp1",-1.1559
sub34,dev20,app4_comp1,0.8,"dev20,sw3,comp1,app4_comp1",-1.1631
sub35,dev13,app3_comp2,0.9,"dev13,sw3,sw0,comp2,app3_comp2",0.3792
sub36,dev14,app3_comp2,0.9,"dev14,sw3,sw0,comp2,app3_comp2",0.425
