subscription,device,app,weight,path,QoS Score
sub1,dev1,app2_comp4,0.2,"dev1,sw1,comp4,app2_comp4",0.3692
sub2,dev2,app2_comp4,0.2,"dev2,sw1,comp4,app2_comp4",0.4386
sub3,dev3,app2_comp4,0.2,"dev3,sw1,comp4,app2_comp4",0.3995
sub4,dev4,app2_comp4,0.2,"dev4,sw1,comp4,app2_comp4",0.3858
sub5,dev5,app2_comp4,0.4,"dev5,sw1,comp4,app2_comp4",0.1881
sub6,dev6,app2_comp4,0.4,"dev6,sw1,comp4,app2_comp4",0.1845
sub7,dev7,app2_comp1,0.2,"dev7,sw2,comp1,app2_comp1",-0.8486
sub8,dev8,app2_comp1,0.2,"dev8,sw2,comp1,app2_comp1",-0.8842
sub9,dev9,app2_comp1,0.2,"dev9,sw2,comp1,app2_comp1",-0.9106
sub10,dev10,app2_comp1,0.2,"dev10,sw2,comp1,app2_comp1",-0.9204
sub11,dev11,app2_comp1,0.4,"dev11,sw2,comp1,app2_comp1",-1.0188
sub12,dev12,app2_comp1,0.4,"dev12,sw2,comp1,app2_comp1",-1.0133
sub13,dev13,app2_comp4,0.2,"dev13,sw3,sw1,comp4,app2_comp4",0.4176
sub14,dev14,app2_comp4,0.2,"dev14,sw3,sw1,comp4,app2_comp4",0.4019
sub15,dev15,app2_comp4,0.2,"dev15,sw3,sw1,comp4,app2_comp4",0.4783
sub16,dev16,app2_comp4,0.2,"dev16,sw3,sw1,comp4,app2_comp4",0.4119
sub17,dev17,app2_comp4,0.4,"dev17,sw3,sw1,comp4,app2_comp4",0.2103
sub18,dev18,app2_comp4,0.4,"dev18,sw3,sw1,comp4,app2_comp4",0.2045
sub19,dev19,app2_comp4,0.4,"dev19,sw3,sw1,comp4,app2_comp4",0.1925
sub20,dev20,app2_comp4,0.4,"dev20,sw3,sw1,comp4,app2_comp4",0.1724
sub21,dev7,app1_comp1,0.3,"dev7,sw2,comp1,app1_comp1",-0.9704
sub22,dev8,app1_comp1,0.3,"dev8,sw2,comp1,app1_comp1",-1.0037
sub23,dev9,app1_comp1,0.3,"dev9,sw2,comp1,app1_comp1",-1.0247
sub24,dev10,app1_comp1,0.3,"dev10,sw2,comp1,app1_comp1",-0.9621
sub25,dev11,app1_comp1,0.5,"dev11,sw2,comp1,app1_comp1",-1.0415
sub26,dev12,app1_comp1,0.5,"dev12,sw2,comp1,app1_comp1",-1.0943
sub27,dev5,app4_comp4,0.8,"dev5,sw1,comp4,app4_comp4",0.4437
sub28,dev6,app4_comp4,0.8,"dev6,sw1,comp4,app4_comp4",0.4398
sub29,dev11,app4_comp1,0.8,"dev11,sw2,comp1,app4_comp1",-0.8786
sub30,dev12,app4_comp1,0.8,"dev12,sw2,comp1,app4_comp1",-0.9097
sub31,dev17,app4_comp4,0.8,"dev17,sw3,sw1,comp4,app4_comp4",0.4088
sub32,dev18,app4_comp4,0.8,"dev18,sw3,sw1,comp4,app4_comp4",0.4202
sub33,dev19,app4_comp4,0.8,"dev19,sw3,sw1,comp4,app4_comp4",0.3859
sub34,dev20,app4_comp4,0.8,"dev20,sw3,sw1,comp4,app4_comp4",0.3806
sub35,dev13,app3_comp3,0.9,"dev13,sw3,comp3,app3_comp3",0.2679
sub36,dev14,app3_comp3,0.9,"dev14,sw3,comp3,app3_comp3",0.4237
