subscription,device,app,weight,path,QoS Score
sub1,dev1,app2_comp4,0.2,"dev1,sw1,comp4,app2_comp4",0.4846
sub2,dev2,app2_comp4,0.2,"dev2,sw1,comp4,app2_comp4",0.475
sub3,dev3,app2_comp4,0.2,"dev3,sw1,comp4,app2_comp4",0.4225
sub4,dev4,app2_comp4,0.2,"dev4,sw1,comp4,app2_comp4",0.4754
sub5,dev5,app2_comp4,0.4,"dev5,sw1,comp4,app2_comp4",0.4574
sub6,dev6,app2_comp4,0.4,"dev6,sw1,comp4,app2_comp4",0.4611
sub7,dev7,app2_comp4,0.2,"dev7,sw2,sw1,comp4,app2_comp4",0.5682
sub8,dev8,app2_comp4,0.2,"dev8,sw2,sw1,comp4,app2_comp4",0.6016
sub9,dev9,app2_comp4,0.2,"dev9,sw2,sw1,comp4,app2_comp4",0.5889
sub10,dev10,app2_comp4,0.2,"dev10,sw2,sw1,comp4,app2_comp4",0.6023
sub11,dev11,app2_comp4,0.4,"dev11,sw2,sw1,comp4,app2_comp4",0.5395
sub12,dev12,app2_comp4,0.4,"dev12,sw2,sw1,comp4,app2_comp4",0.5701
sub13,dev13,app2_comp4,0.2,"dev13,sw3,sw1,comp4,app2_comp4",0.3887
sub14,dev14,app2_comp4,0.2,"dev14,sw3,sw1,comp4,app2_comp4",0.4151
sub15,dev15,app2_comp4,0.2,"dev15,sw3,sw1,comp4,app2_comp4",0.4885
sub16,dev16,app2_comp4,0.2,"dev16,sw3,sw1,comp4,app2_comp4",0.423
sub17,dev17,app2_comp4,0.4,"dev17,sw3,sw1,comp4,app2_comp4",0.4363
sub18,dev18,app2_comp4,0.4,"dev18,sw3,sw1,comp4,app2_comp4",0.4324
sub19,dev19,app2_comp4,0.4,"dev19,sw3,sw1,comp4,app2_comp4",0.4658
sub20,dev20,app2_comp4,0.4,"dev20,sw3,sw1,comp4,app2_comp4",0.4232
sub21,dev7,app1_comp4,0.3,"dev7,sw2,sw1,comp4,app1_comp4",0.4051
sub22,dev8,app1_comp4,0.3,"dev8,sw2,sw1,comp4,app1_comp4",0.4461
sub23,dev9,app1_comp4,0.3,"dev9,sw2,sw1,comp4,app1_comp4",0.4482
sub24,dev10,app1_comp4,0.3,"dev10,sw2,sw1,comp4,app1_comp4",0.4399
sub25,dev11,app1_comp4,0.5,"dev11,sw2,sw1,comp4,app1_comp4",0.4459
sub26,dev12,app1_comp4,0.5,"dev12,sw2,sw1,comp4,app1_comp4",0.4224
sub27,dev5,app4_comp1,0.8,"dev5,sw1,sw2,comp1,app4_comp1",-1.0089
sub28,dev6,app4_comp1,0.8,"dev6,sw1,sw2,comp1,app4_comp1",-1.0644
sub29,dev11,app4_comp1,0.8,"dev11,sw2,comp1,app4_comp1",-1.1987
sub30,dev12,app4_comp1,0.8,"dev12,sw2,comp1,app4_comp1",-1.226
sub31,dev17,app4_comp1,0.8,"dev17,sw3,sw1,sw2,comp1,app4_comp1",-1.2299
sub32,dev18,app4_comp1,0.8,"dev18,sw3,sw1,sw2,comp1,app4_comp1",-1.2344
sub33,dev19,app4_comp1,0.8,"dev19,sw3,sw1,sw2,comp1,app4_comp1",-1.2289
sub34,dev20,app4_comp1,0.8,"dev20,sw3,sw1,sw2,comp1,app4_comp1",-1.2323
sub35,dev13,app3_comp4,0.9,"dev13,sw3,sw1,comp4,app3_comp4",0.4176
sub36,dev14,app3_comp4,0.9,"dev14,sw3,sw1,comp4,app3_comp4",0.4439
