subscription,device,app,weight,path,QoS Score
sub1,dev1,app2_comp1,0.2,"dev1,sw1,comp1,app2_comp1",0.767027936
sub2,dev2,app2_comp1,0.2,"dev2,sw1,comp1,app2_comp1",0.824599612
sub3,dev3,app2_comp1,0.2,"dev3,sw1,comp1,app2_comp1",0.803278231
sub4,dev4,app2_comp1,0.2,"dev4,sw1,comp1,app2_comp1",0.792897749
sub5,dev5,app2_comp1,0.4,"dev5,sw1,comp1,app2_comp1",0.742588078
sub6,dev6,app2_comp1,0.4,"dev6,sw1,comp1,app2_comp1",0.751346797
sub7,dev7,app2_comp4,0.2,"dev7,sw2,comp4,app2_comp4",0.81178599
sub8,dev8,app2_comp4,0.2,"dev8,sw2,comp4,app2_comp4",0.848502921
sub9,dev9,app2_comp4,0.2,"dev9,sw2,comp4,app2_comp4",0.793948742
sub10,dev10,app2_comp4,0.2,"dev10,sw2,comp4,app2_comp4",0.825444012
sub11,dev11,app2_comp4,0.4,"dev11,sw2,comp4,app2_comp4",0.7377147
sub12,dev12,app2_comp4,0.4,"dev12,sw2,comp4,app2_comp4",0.69786985
sub13,dev13,app2_comp4,0.2,"dev13,sw3,sw2,comp4,app2_comp4",0.71926045
sub14,dev14,app2_comp4,0.2,"dev14,sw3,sw2,comp4,app2_comp4",0.732263347
sub15,dev15,app2_comp4,0.2,"dev15,sw3,sw2,comp4,app2_comp4",0.747215427
sub16,dev16,app2_comp4,0.2,"dev16,sw3,sw2,comp4,app2_comp4",0.807127032
sub17,dev17,app2_comp4,0.4,"dev17,sw3,sw2,comp4,app2_comp4",0.76678918
sub18,dev18,app2_comp4,0.4,"dev18,sw3,sw2,comp4,app2_comp4",0.848734734
sub19,dev19,app2_comp4,0.4,"dev19,sw3,sw2,comp4,app2_comp4",0.814408769
sub20,dev20,app2_comp4,0.4,"dev20,sw3,sw2,comp4,app2_comp4",0.810060165
sub21,dev7,app1_comp3,0.3,"dev7,sw2,comp3,app1_comp3",0.254657753
sub22,dev8,app1_comp3,0.3,"dev8,sw2,comp3,app1_comp3",0.260524256
sub23,dev9,app1_comp3,0.3,"dev9,sw2,comp3,app1_comp3",0.293357378
sub24,dev10,app1_comp3,0.3,"dev10,sw2,comp3,app1_comp3",0.29052546
sub25,dev11,app1_comp3,0.5,"dev11,sw2,comp3,app1_comp3",0.228370963
sub26,dev12,app1_comp3,0.5,"dev12,sw2,comp3,app1_comp3",0.261147874
sub27,dev5,app4_comp2,0.8,"dev5,sw1,sw0,comp2,app4_comp2",0.667305185
sub28,dev6,app4_comp2,0.8,"dev6,sw1,sw0,comp2,app4_comp2",0.642195244
sub29,dev11,app4_comp2,0.8,"dev11,sw2,sw0,comp2,app4_comp2",0.535243608
sub30,dev12,app4_comp2,0.8,"dev12,sw2,sw0,comp2,app4_comp2",0.575353172
sub31,dev17,app4_comp2,0.8,"dev17,sw3,sw2,sw0,comp2,app4_comp2",0.511360341
sub32,dev18,app4_comp2,0.8,"dev18,sw3,sw2,sw0,comp2,app4_comp2",0.568019707
sub33,dev19,app4_comp2,0.8,"dev19,sw3,sw2,sw0,comp2,app4_comp2",0.605448622
sub34,dev20,app4_comp2,0.8,"dev20,sw3,sw2,sw0,comp2,app4_comp2",0.606507605
sub35,dev13,app3_comp3,0.9,"dev13,sw3,sw2,comp3,app3_comp3",0.350036961
sub36,dev14,app3_comp3,0.9,"dev14,sw3,sw2,comp3,app3_comp3",0.344118822
