subscription,device,app,weight,path,QoS Score
sub1,dev1,app2_comp4,0.2,"dev1,sw1,comp4,app2_comp4",0.945331803
sub2,dev2,app2_comp4,0.2,"dev2,sw1,comp4,app2_comp4",0.897787393
sub3,dev3,app2_comp4,0.2,"dev3,sw1,comp4,app2_comp4",0.798533184
sub4,dev4,app2_comp4,0.2,"dev4,sw1,comp4,app2_comp4",0.908483078
sub5,dev5,app2_comp4,0.4,"dev5,sw1,comp4,app2_comp4",0.915347055
sub6,dev6,app2_comp4,0.4,"dev6,sw1,comp4,app2_comp4",0.875708393
sub7,dev7,app2_comp4,0.2,"dev7,sw2,sw1,comp4,app2_comp4",0.88420665
sub8,dev8,app2_comp4,0.2,"dev8,sw2,sw1,comp4,app2_comp4",0.939600925
sub9,dev9,app2_comp4,0.2,"dev9,sw2,sw1,comp4,app2_comp4",0.897681414
sub10,dev10,app2_comp4,0.2,"dev10,sw2,sw1,comp4,app2_comp4",0.898318332
sub11,dev11,app2_comp4,0.4,"dev11,sw2,sw1,comp4,app2_comp4",0.873781816
sub12,dev12,app2_comp4,0.4,"dev12,sw2,sw1,comp4,app2_comp4",0.836779295
sub13,dev13,app2_comp4,0.2,"dev13,sw3,sw2,sw1,comp4,app2_comp4",0.723895737
sub14,dev14,app2_comp4,0.2,"dev14,sw3,sw2,sw1,comp4,app2_comp4",0.872139559
sub15,dev15,app2_comp4,0.2,"dev15,sw3,sw2,sw1,comp4,app2_comp4",0.84098633
sub16,dev16,app2_comp4,0.2,"dev16,sw3,sw2,sw1,comp4,app2_comp4",0.867897311
sub17,dev17,app2_comp4,0.4,"dev17,sw3,sw2,sw1,comp4,app2_comp4",0.917438027
sub18,dev18,app2_comp4,0.4,"dev18,sw3,sw2,sw1,comp4,app2_comp4",0.909105067
sub19,dev19,app2_comp4,0.4,"dev19,sw3,sw2,sw1,comp4,app2_comp4",0.943246003
sub20,dev20,app2_comp4,0.4,"dev20,sw3,sw2,sw1,comp4,app2_comp4",0.936318622
sub21,dev7,app1_comp1,0.3,"dev7,sw2,sw1,comp1,app1_comp1",0.271898444
sub22,dev8,app1_comp1,0.3,"dev8,sw2,sw1,comp1,app1_comp1",0.265427492
sub23,dev9,app1_comp1,0.3,"dev9,sw2,sw1,comp1,app1_comp1",0.254014601
sub24,dev10,app1_comp1,0.3,"dev10,sw2,sw1,comp1,app1_comp1",0.254142431
sub25,dev11,app1_comp1,0.5,"dev11,sw2,sw1,comp1,app1_comp1",0.252252832
sub26,dev12,app1_comp1,0.5,"dev12,sw2,sw1,comp1,app1_comp1",0.232112904
sub27,dev5,app4_comp3,0.8,"dev5,sw1,comp3,app4_comp3",0.538372558
sub28,dev6,app4_comp3,0.8,"dev6,sw1,comp3,app4_comp3",0.534072202
sub29,dev11,app4_comp3,0.8,"dev11,sw2,sw1,comp3,app4_comp3",0.591233787
sub30,dev12,app4_comp3,0.8,"dev12,sw2,sw1,comp3,app4_comp3",0.610761831
sub31,dev17,app4_comp3,0.8,"dev17,sw3,sw2,sw1,comp3,app4_comp3",0.550732218
sub32,dev18,app4_comp3,0.8,"dev18,sw3,sw2,sw1,comp3,app4_comp3",0.705265039
sub33,dev19,app4_comp3,0.8,"dev19,sw3,sw2,sw1,comp3,app4_comp3",0.545998542
sub34,dev20,app4_comp3,0.8,"dev20,sw3,sw2,sw1,comp3,app4_comp3",0.572289788
sub35,dev13,app3_comp1,0.9,"dev13,sw3,sw2,sw1,comp1,app3_comp1",0.350611554
sub36,dev14,app3_comp1,0.9,"dev14,sw3,sw2,sw1,comp1,app3_comp1",0.331204057
