subscription,device,app,weight,path,QoS Score
sub1,dev1,app2_comp1,0.2,"dev1,sw1,comp1,app2_comp1",0.308752929
sub2,dev2,app2_comp1,0.2,"dev2,sw1,comp1,app2_comp1",0.340498941
sub3,dev3,app2_comp1,0.2,"dev3,sw1,comp1,app2_comp1",0.309311279
sub4,dev4,app2_comp1,0.2,"dev4,sw1,comp1,app2_comp1",0.306263603
sub5,dev5,app2_comp1,0.4,"dev5,sw1,comp1,app2_comp1",0.280910284
sub6,dev6,app2_comp1,0.4,"dev6,sw1,comp1,app2_comp1",0.23159396
sub7,dev7,app2_comp1,0.2,"dev7,sw2,sw0,sw1,comp1,app2_comp1",0.382712615
sub8,dev8,app2_comp1,0.2,"dev8,sw2,sw0,sw1,comp1,app2_comp1",0.376781088
sub9,dev9,app2_comp1,0.2,"dev9,sw2,sw0,sw1,comp1,app2_comp1",0.417927398
sub10,dev10,app2_comp1,0.2,"dev10,sw2,sw0,sw1,comp1,app2_comp1",0.433432171
sub11,dev11,app2_comp1,0.4,"dev11,sw2,sw0,sw1,comp1,app2_comp1",0.410479047
sub12,dev12,app2_comp1,0.4,"dev12,sw2,sw0,sw1,comp1,app2_comp1",0.338390354
sub13,dev13,app2_comp1,0.2,"dev13,sw3,sw0,sw1,comp1,app2_comp1",0.348792762
sub14,dev14,app2_comp1,0.2,"dev14,sw3,sw0,sw1,comp1,app2_comp1",0.353659894
sub15,dev15,app2_comp1,0.2,"dev15,sw3,sw0,sw1,comp1,app2_comp1",0.314645636
sub16,dev16,app2_comp1,0.2,"dev16,sw3,sw0,sw1,comp1,app2_comp1",0.341795633
sub17,dev17,app2_comp1,0.4,"dev17,sw3,sw0,sw1,comp1,app2_comp1",0.343635583
sub18,dev18,app2_comp1,0.4,"dev18,sw3,sw0,sw1,comp1,app2_comp1",0.318754429
sub19,dev19,app2_comp1,0.4,"dev19,sw3,sw0,sw1,comp1,app2_comp1",0.315770486
sub20,dev20,app2_comp1,0.4,"dev20,sw3,sw0,sw1,comp1,app2_comp1",0.337492752
sub21,dev7,app1_comp2,0.3,"dev7,sw2,sw0,comp2,app1_comp2",0.627026357
sub22,dev8,app1_comp2,0.3,"dev8,sw2,sw0,comp2,app1_comp2",0.675815925
sub23,dev9,app1_comp2,0.3,"dev9,sw2,sw0,comp2,app1_comp2",0.648122563
sub24,dev10,app1_comp2,0.3,"dev10,sw2,sw0,comp2,app1_comp2",0.661228976
sub25,dev11,app1_comp2,0.5,"dev11,sw2,sw0,comp2,app1_comp2",0.472302204
sub26,dev12,app1_comp2,0.5,"dev12,sw2,sw0,comp2,app1_comp2",0.491585867
sub27,dev5,app4_comp1,0.8,"dev5,sw1,comp1,app4_comp1",0.382370869
sub28,dev6,app4_comp1,0.8,"dev6,sw1,comp1,app4_comp1",0.418099853
sub29,dev11,app4_comp2,0.8,"dev11,sw2,sw0,comp2,app4_comp2",0.619223853
sub30,dev12,app4_comp2,0.8,"dev12,sw2,sw0,comp2,app4_comp2",0.604606482
sub31,dev17,app4_comp2,0.8,"dev17,sw3,sw0,comp2,app4_comp2",0.550024214
sub32,dev18,app4_comp2,0.8,"dev18,sw3,sw0,comp2,app4_comp2",0.514921465
sub33,dev19,app4_comp2,0.8,"dev19,sw3,sw0,comp2,app4_comp2",0.503476165
sub34,dev20,app4_comp2,0.8,"dev20,sw3,sw0,comp2,app4_comp2",0.574989833
sub35,dev13,app3_comp1,0.9,"dev13,sw3,sw0,sw1,comp1,app3_comp1",0.378640901
sub36,dev14,app3_comp1,0.9,"dev14,sw3,sw0,sw1,comp1,app3_comp1",0.307449153
