subscription,device,app,weight,path,QoS Score
sub1,dev1,app2_comp1,0.2,"dev1,sw1,comp1,app2_comp1",0.334854697
sub2,dev2,app2_comp1,0.2,"dev2,sw1,comp1,app2_comp1",0.312312226
sub3,dev3,app2_comp1,0.2,"dev3,sw1,comp1,app2_comp1",0.320252397
sub4,dev4,app2_comp1,0.2,"dev4,sw1,comp1,app2_comp1",0.395418004
sub5,dev5,app2_comp1,0.4,"dev5,sw1,comp1,app2_comp1",0.187119797
sub6,dev6,app2_comp1,0.4,"dev6,sw1,comp1,app2_comp1",0.19368698
sub7,dev7,app2_comp1,0.2,"dev7,sw2,sw1,comp1,app2_comp1",0.414954233
sub8,dev8,app2_comp1,0.2,"dev8,sw2,sw1,comp1,app2_comp1",0.394246871
sub9,dev9,app2_comp1,0.2,"dev9,sw2,sw1,comp1,app2_comp1",0.361292631
sub10,dev10,app2_comp1,0.2,"dev10,sw2,sw1,comp1,app2_comp1",0.339322416
sub11,dev11,app2_comp1,0.4,"dev11,sw2,sw1,comp1,app2_comp1",0.094488347
sub12,dev12,app2_comp1,0.4,"dev12,sw2,sw1,comp1,app2_comp1",0.101132003
sub13,dev13,app2_comp1,0.2,"dev13,sw3,sw0,sw1,comp1,app2_comp1",0.320025703
sub14,dev14,app2_comp1,0.2,"dev14,sw3,sw0,sw1,comp1,app2_comp1",0.348827668
sub15,dev15,app2_comp1,0.2,"dev15,sw3,sw0,sw1,comp1,app2_comp1",0.329712098
sub16,dev16,app2_comp1,0.2,"dev16,sw3,sw0,sw1,comp1,app2_comp1",0.32734046
sub17,dev17,app2_comp1,0.4,"dev17,sw3,sw0,sw1,comp1,app2_comp1",0.353360333
sub18,dev18,app2_comp1,0.4,"dev18,sw3,sw0,sw1,comp1,app2_comp1",0.34024243
sub19,dev19,app2_comp1,0.4,"dev19,sw3,sw0,sw1,comp1,app2_comp1",0.32306863
sub20,dev20,app2_comp1,0.4,"dev20,sw3,sw0,sw1,comp1,app2_comp1",0.345147477
sub21,dev7,app1_comp3,0.3,"dev7,sw2,comp3,app1_comp3",0.639150248
sub22,dev8,app1_comp3,0.3,"dev8,sw2,comp3,app1_comp3",0.692651013
sub23,dev9,app1_comp3,0.3,"dev9,sw2,comp3,app1_comp3",0.693522315
sub24,dev10,app1_comp3,0.3,"dev10,sw2,comp3,app1_comp3",0.729580411
sub25,dev11,app1_comp3,0.5,"dev11,sw2,comp3,app1_comp3",0.668620849
sub26,dev12,app1_comp3,0.5,"dev12,sw2,comp3,app1_comp3",0.692895206
sub27,dev5,app4_comp1,0.8,"dev5,sw1,comp1,app4_comp1",0.457504314
sub28,dev6,app4_comp1,0.8,"dev6,sw1,comp1,app4_comp1",0.470540193
sub29,dev11,app4_comp1,0.8,"dev11,sw2,sw1,comp1,app4_comp1",0.331204192
sub30,dev12,app4_comp1,0.8,"dev12,sw2,sw1,comp1,app4_comp1",0.268912901
sub31,dev17,app4_comp2,0.8,"dev17,sw3,sw0,comp2,app4_comp2",0.66689305
sub32,dev18,app4_comp2,0.8,"dev18,sw3,sw0,comp2,app4_comp2",0.629226652
sub33,dev19,app4_comp2,0.8,"dev19,sw3,sw0,comp2,app4_comp2",0.636563307
sub34,dev20,app4_comp2,0.8,"dev20,sw3,sw0,comp2,app4_comp2",0.651857709
sub35,dev13,app3_comp1,0.9,"dev13,sw3,sw0,sw1,comp1,app3_comp1",0.406229999
sub36,dev14,app3_comp1,0.9,"dev14,sw3,sw0,sw1,comp1,app3_comp1",0.38424651
