subscription,device,app,weight,path,QoS Score
sub1,dev1,app2_comp3,0.2,"dev1,sw1,comp3,app2_comp3",0.3422
sub2,dev2,app2_comp3,0.2,"dev2,sw1,comp3,app2_comp3",0.3907
sub3,dev3,app2_comp3,0.2,"dev3,sw1,comp3,app2_comp3",0.4059
sub4,dev4,app2_comp3,0.2,"dev4,sw1,comp3,app2_comp3",0.412
sub5,dev5,app2_comp3,0.4,"dev5,sw1,comp3,app2_comp3",0.2741
sub6,dev6,app2_comp3,0.4,"dev6,sw1,comp3,app2_comp3",0.3127
sub7,dev7,app2_comp4,0.2,"dev7,sw2,sw0,sw3,comp4,app2_comp4",0.4091
sub8,dev8,app2_comp4,0.2,"dev8,sw2,sw0,sw3,comp4,app2_comp4",0.3836
sub9,dev9,app2_comp4,0.2,"dev9,sw2,sw0,sw3,comp4,app2_comp4",0.4448
sub10,dev10,app2_comp4,0.2,"dev10,sw2,sw0,sw3,comp4,app2_comp4",0.4172
sub11,dev11,app2_comp4,0.4,"dev11,sw2,sw0,sw3,comp4,app2_comp4",0.3996
sub12,dev12,app2_comp4,0.4,"dev12,sw2,sw0,sw3,comp4,app2_comp4",0.413
sub13,dev13,app2_comp4,0.2,"dev13,sw3,comp4,app2_comp4",0.3397
sub14,dev14,app2_comp4,0.2,"dev14,sw3,comp4,app2_comp4",0.3228
sub15,dev15,app2_comp4,0.2,"dev15,sw3,comp4,app2_comp4",0.3955
sub16,dev16,app2_comp4,0.2,"dev16,sw3,comp4,app2_comp4",0.3987
sub17,dev17,app2_comp4,0.4,"dev17,sw3,comp4,app2_comp4",0.3925
sub18,dev18,app2_comp4,0.4,"dev18,sw3,comp4,app2_comp4",0.4043
sub19,dev19,app2_comp4,0.4,"dev19,sw3,comp4,app2_comp4",0.4016
sub20,dev20,app2_comp4,0.4,"dev20,sw3,comp4,app2_comp4",0.4323
sub21,dev7,app1_comp2,0.3,"dev7,sw2,sw0,comp2,app1_comp2",-0.8772
sub22,dev8,app1_comp2,0.3,"dev8,sw2,sw0,comp2,app1_comp2",-0.8948
sub23,dev9,app1_comp2,0.3,"dev9,sw2,sw0,comp2,app1_comp2",-0.8603
sub24,dev10,app1_comp2,0.3,"dev10,sw2,sw0,comp2,app1_comp2",-0.8492
sub25,dev11,app1_comp2,0.5,"dev11,sw2,sw0,comp2,app1_comp2",-1.3949
sub26,dev12,app1_comp2,0.5,"dev12,sw2,sw0,comp2,app1_comp2",-1.2326
sub27,dev5,app4_comp3,0.8,"dev5,sw1,comp3,app4_comp3",0.4072
sub28,dev6,app4_comp3,0.8,"dev6,sw1,comp3,app4_comp3",0.4057
sub29,dev11,app4_comp2,0.8,"dev11,sw2,sw0,comp2,app4_comp2",-0.8829
sub30,dev12,app4_comp2,0.8,"dev12,sw2,sw0,comp2,app4_comp2",-0.8418
sub31,dev17,app4_comp2,0.8,"dev17,sw3,sw0,comp2,app4_comp2",-1.4024
sub32,dev18,app4_comp2,0.8,"dev18,sw3,sw0,comp2,app4_comp2",-1.3733
sub33,dev19,app4_comp2,0.8,"dev19,sw3,sw0,comp2,app4_comp2",-1.4686
sub34,dev20,app4_comp2,0.8,"dev20,sw3,sw0,comp2,app4_comp2",-1.3833
sub35,dev13,app3_comp1,0.9,"dev13,sw3,comp1,app3_comp1",0.4046
sub36,dev14,app3_comp1,0.9,"dev14,sw3,comp1,app3_comp1",0.3977
