subscription,device,app,weight,path,QoS Score
sub1,dev1,app2_comp4,0.2,"dev1,sw1,sw2,comp4,app2_comp4",0.4574
sub2,dev2,app2_comp4,0.2,"dev2,sw1,sw2,comp4,app2_comp4",0.4782
sub3,dev3,app2_comp4,0.2,"dev3,sw1,sw2,comp4,app2_comp4",0.4167
sub4,dev4,app2_comp4,0.2,"dev4,sw1,sw2,comp4,app2_comp4",0.5389
sub5,dev5,app2_comp4,0.4,"dev5,sw1,sw2,comp4,app2_comp4",0.4931
sub6,dev6,app2_comp4,0.4,"dev6,sw1,sw2,comp4,app2_comp4",0.4483
sub7,dev7,app2_comp4,0.2,"dev7,sw2,comp4,app2_comp4",0.429
sub8,dev8,app2_comp4,0.2,"dev8,sw2,comp4,app2_comp4",0.4811
sub9,dev9,app2_comp4,0.2,"dev9,sw2,comp4,app2_comp4",0.4551
sub10,dev10,app2_comp4,0.2,"dev10,sw2,comp4,app2_comp4",0.4765
sub11,dev11,app2_comp4,0.4,"dev11,sw2,comp4,app2_comp4",0.2698
sub12,dev12,app2_comp4,0.4,"dev12,sw2,comp4,app2_comp4",0.2976
sub13,dev13,app2_comp1,0.2,"dev13,sw3,comp1,app2_comp1",0.3354
sub14,dev14,app2_comp1,0.2,"dev14,sw3,comp1,app2_comp1",0.4917
sub15,dev15,app2_comp1,0.2,"dev15,sw3,comp1,app2_comp1",0.4266
sub16,dev16,app2_comp1,0.2,"dev16,sw3,comp1,app2_comp1",0.3909
sub17,dev17,app2_comp1,0.4,"dev17,sw3,comp1,app2_comp1",0.1582
sub18,dev18,app2_comp1,0.4,"dev18,sw3,comp1,app2_comp1",0.211
sub19,dev19,app2_comp1,0.4,"dev19,sw3,comp1,app2_comp1",0.1604
sub20,dev20,app2_comp1,0.4,"dev20,sw3,comp1,app2_comp1",0.1677
sub21,dev7,app1_comp1,0.3,"dev7,sw2,sw1,sw3,comp1,app1_comp1",0.4605
sub22,dev8,app1_comp1,0.3,"dev8,sw2,sw1,sw3,comp1,app1_comp1",0.4715
sub23,dev9,app1_comp1,0.3,"dev9,sw2,sw1,sw3,comp1,app1_comp1",0.4797
sub24,dev10,app1_comp1,0.3,"dev10,sw2,sw1,sw3,comp1,app1_comp1",0.4901
sub25,dev11,app1_comp1,0.5,"dev11,sw2,sw1,sw3,comp1,app1_comp1",0.4721
sub26,dev12,app1_comp1,0.5,"dev12,sw2,sw1,sw3,comp1,app1_comp1",0.4776
sub27,dev5,app4_comp1,0.8,"dev5,sw1,sw3,comp1,app4_comp1",0.195
sub28,dev6,app4_comp1,0.8,"dev6,sw1,sw3,comp1,app4_comp1",0.1903
sub29,dev11,app4_comp4,0.8,"dev11,sw2,comp4,app4_comp4",0.4834
sub30,dev12,app4_comp4,0.8,"dev12,sw2,comp4,app4_comp4",0.4659
sub31,dev17,app4_comp1,0.8,"dev17,sw3,comp1,app4_comp1",0.3815
sub32,dev18,app4_comp1,0.8,"dev18,sw3,comp1,app4_comp1",0.5403
sub33,dev19,app4_comp1,0.8,"dev19,sw3,comp1,app4_comp1",0.442
sub34,dev20,app4_comp1,0.8,"dev20,sw3,comp1,app4_comp1",0.4224
sub35,dev13,app3_comp3,0.9,"dev13,sw3,sw1,comp3,app3_comp3",-0.9438
sub36,dev14,app3_comp3,0.9,"dev14,sw3,sw1,comp3,app3_comp3",-1.0585
